,Title,Company,Location,Salary,Job Url,Snippet
0,Operations Manager,Azure Prism Limited,Remote in Manila,"PHP 60,000 - PHP 80,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXGNQPvy4VyLaZedecZX32uMpidMNrrSf1Xi6RfFB3oR0tgqKcBEEg5vQkbO0XseuoAjiH1dbCqSkLhs3qHi5Ayb9ohm3PVKqKtHnUUhMJzHqWQYh_ns5TirvyRNW4qb9EhWhzVWy44tqt9fO8Z00gszZUDFwOGiqtHSTe2eppSM1ae9Dt3aJ1RvbNV1FiYU8Oc8zMJzLLYsmXbcCvnzuS9BW7OLM0RFU_8ue1Z1uMGfTNVkRf-fv3Uqxd0cA8nYV9xV3lUUFTm1ukMW4nbieNyI2HeURRqh52JFAQjO-RZTUKivhYb72AbZXvZwttj3sEkT-L8m1JhvL-VKdeGz335R06PBDhFvqIDNreAT6vxH-zPJpLHam9PM5820ai0PFt35qEmUSeJGxX-GOh4JFyT3tn7u0bhlg-7xaItafQ8qZ1KS1-1ZrS5tQ2W98To709Ur_lcO_v10vnDpRivLej3AxFiLMym7c=&p=0&fvj=1&vjs=3,Work from home and full-time position.
1,Business Development Manager,Zengage,Pasay,"PHP 60,000 - PHP 80,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFotHD-krhVRmL6z7Fkx8OwRSN61x6AZz56VJROuU-MVsTVwohlMwcAi8QxldGZTe95MbzH0mlZ6S_N-kS4M4baLCM_E063GnpFjlqF0tIFjmB5B9k8yX6EybEiyqGGjy49ZWazweTypgNlov76DZIf-6813dtn-P0bl4IzUKhnfAEWAdAG1ZOsTO_-ZhL1-wvaGmtviHSyLJL-ANzgZkNJsAX1OnyWfkuvYoAzT_X8dzMb1Twd381nwemDWe23Fb9SKgJnqqc7hHmwZuPN1LmF9zhuOzl0IXnB20ArDj-S-i4ij9szftZrNjniI4f7Rvbs7JW-vs_S7jJRO0wUSyb6BIbmWNJG5Kf-ci-d7rk38CdfJQK9eyAg7eJiAKICcJIUFbIUpK1GmiKY932D4RVRYcqMrJorHQ7j8_zEO7_r5NESCHSvtimxfZ5uinJ5rHX4A5Jt512gg-MHTpvaCDy9zPKZluWHJYon9cp26b45Q==&p=1&fvj=1&vjs=3,Managing both our existing sales pipeline and developing new business opportunities.
2,Warehouse and Logistics Manager,C&L Decor,Quezon City,"PHP 30,000 - PHP 50,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPjJh3e_C8Hpj09W9kDkiRCW2s-8HdmgLim24qEz8j1n5j9IkPurGRpYs792OauQZZsvxCcUZpGn7E2O7q4WaS2iUqQBfyfmcUXs1AHsot_5xiYhinn2PdVqtcFRmHDLHvfQZYM3Nx0FTOZSqhSbSFykii9YdcZPd5Zn8OkXr9vBCzSfXoFxCLMpuctlPg6zJ69CyuSklYi5HUgKEAHSdbXYMbHNLEIKgvjoO0qLwssj4SD82DpZQjQxItkLhUt98qWTON8VrToA_XKs8pdRk_S3mUzNvxC9DE8q5Zh5Ht1ujlU9Xepv3oys=&p=2&fvj=1&vjs=3,Overall in charge of warehouse and logistics team.
3,Customer Service Manager,Wells Fargo,Manila,,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdG5ZL4C8Qq4Ke8nPQyS9KbaEv5fxmBqiMLR4vHXfkjdtJKLQtWONxpSUArcpr8eFUPZK3YGMZa3nRduWooDe4wzjeWmZQwALPnvS4eGF4DPUb5VJTCOdm91XeIGtx0NuV-C-V2UtARJIA92YtnzSfcUcz__NxrlRXkwWvdjbL7WbFPN7WLGl0wULpaLhXGd2BqbDsuf1Yg4EMyman9cv2iscGMGBrS3jnU65sJEyAyxuR3gA00oCkli83fRhFMsXrEuFdE2KVCY8BRXXJLYXZIaQ07TM0k5s2A2Wb6svJ0yhTVIDK3kOh3LcIJlSUmRBX__xtB-a6vdVZMHmdu0daAU-UAmLQ1HSQMU4nO98yyjiAMCdMpuFZLN9DitT6OjxREJBxTtGodIGteq6qtQFubtL-yDYvFFq-wopbfYtm0yAK54Uie-E3WItJRl2EsX5y73_hEtesyND03BmVhIwTv5XeeC0adPAelXM3NedF4KXZxPO44A1nAiNL9myCzQdHLQF2ioklxEqHT6e0kU8orNp82JhxbtpHPwdo-Hg4-8dLpXdRa_2Gy3zau4sx6616OzM798iONY_PKA90NLvqOyuGVBRWyuPkorUDMXRND_xlHMAcI78jtL5rlWiKqz7uyh7vo5zxZbjd4nU0bkqZIA==&p=3&fvj=0&vjs=3,"Collaborate and consult with more experienced management, internal partners, relationship managers, and colleagues to ensure customer satisfaction."
4,Operations Manager,Vrio-Fintech,Remote in Manila,"PHP 50,000 - PHP 60,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdx1Lt3LJQvErIPlHlvip_drkXHMMslo8seFwm7IWMk25mno2PKofuKIvLcOu5FIWpqMfHiEmyq0oCjLIyBRGGleX00F75kkJhfbi07c0wvtTS78B-IFbW90c8CwK9ihiQ5sbIMbC_zc2t6KdP_9VF7pxksxRZeA7Vwzy_dXpp_HhA1bqi2qVvfmbejDWXLU5qX_oyHRsJqpI33fFdeSsbJzJVuuj4ntLjx0mP1Bl8EJj8V_mIpRfS6e4WDHrbkWHp1UjD-6Fi3gJBnhyUHeRir5isUgzAkVdmt5YMUSaXz3OeBDrCK3P1M8=&p=4&fvj=1&vjs=3,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.
5,Concession Sales Manager,Richprime Global Inc,Quezon City,"PHP 40,000 - PHP 50,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CENJk4o9GUurtIJdOl7KSv0iEgy0-Xt7T_29a-YielZtoINrID6B-j0nvPJJ7QfUi-pztEjolHFh44gUrUwv5Nq2xdUu_4PTF1aHISwbxJ7rrI_L7yl5QfDcGfdeSE2SWgSzn36oUWkgJ-6T2Jz4mh-SgmGfg35BxhlHMnW-M-mzbEoWgdimqi34OzQ_EV6T24L_tQp7K7uuEPxbqKN-uk0HLBhFRL2xtlZHmWpdCK35M1obQj0cFYBp3DCaMDjSAWLUNL_TniyZWe0AUB-bP7HoyuHEU-jvEZCXIYsiKLNv47rGJBFaRIJfovBtkXJ_RdHbxhHO27kdVwszIezVO1K29gfHAnYEhWvj69DeHHqDB8ach8CCASk9sPfZyuUJEucCBa027ONsPxDArH7SpjT_qTt-jM22N1SKMVSHr_oU5zz4nigkFuI6G1_N-i4Xm6ui7cZKfUL7pdIG3MzMEOvioMqBqbPwA=&p=5&fvj=1&vjs=3,"Job Purpose: Responsible for planning, implementing and directing the sales activities of the company in assigned territory to achieve sales objectives."
6,Knowldege Manager,TOA Global,Pasig,"PHP 75,000 - PHP 90,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-d4IvKdOWcWlwGwuWOOSlQ-DyrnlQG0ke1mnc5lZLyf-mtRZLNxGHX5LLom1yuibwJCexQ-ga8TE7iuCzTgEozQ5MCinT8QSaMZqxXzGaFkRMtmBx1VzdIE0qCp8rXv-YZ6Ukc4uMu3lgKfep_AHXeoMIC5inODJviWga7wroyGGZY6vJGK-Frx1v32EXtebP2pKAtRr-imR9j3lgPxe7hvmPpONOJ3-NjVM6QGiakaMQRztlE9u7sgUi1esx9Nx3Hd0BrJwrOOiVh5oYANES3UIAFz-uey2p_1MqG39gFgF7NIoMHpGkorNz2XhZGChmKQZ_42bxxxsCOJNXyoLqdENZQeVEy1YooCsF5kIKOVXqsdMPfzSP_nNyAy0xWsduABHmcDoFKo7NYM7UzD2PibCkxS-dvnhNv7Ch0vTHaAY3qwCPDNjzwlE5BqIsURr7k1PSwp8ayjJrn-F_JlUVYUC8klumtFg=&p=6&fvj=1&vjs=3,"As a Knowledge Manager, you will define the content/knowledge management strategy and lead the content architecture and strategy."
7,Customer Service Associate Manager,Wells Fargo,Manila,,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdG5ZL4C8Qq4L6_9C5Q6In8jBHvbmjkmbwx_jqHGR-0crH-tFWzEUlHkw3aUwEuFp6cI1sXOO4G8wSo8q0KS_vww1LJPy0caFyQp1IqURUu5xrkSb-loxaucOkFDASGmWpQRS0TEYGSdMV5ddYcWXlxiucQ6J3aoqGYNYqJsd3ICqPQlXkiYQ8bILAVCPysJg-apEQ_LsfvRLQbvw3pAOelSgaBgcxk13XG-EmQk3PZCsLxUCb9nXG_nw7CVCApo-e8vK1SX3UMQqRrVoe9DTf_7p_69p92OR3SPocVnLNjE6Bf_CWMghyW-yoYqWmHKLtAgzJs5IT-z7ERE-gJW0PbeBCre2wXyxbmV5eppD8dzT_XkddN1gdILqhSjWG5LwVyawz1BfQmQ2SQVhZLfDTK9qigxMMa57P5cbyYjn8tw9Gw3TEBl1b0AIbCgDjfPAI6EukhKX6YuCoFVxAqZkJlInLUmZqKcbk1lElLYVcdRTUmI3S4uvnzIhzhp_pLuaI0J_Vgs511aa-bMMbXRRciCzOOSPrK7G67SbIWIsydTpKGhHjRl_dR0PSyw5IHseJKdWd1wyxbuY-rDaVVw8eIvZdCGaKAnfhGg5ZK42sQgvzTH8-sdPSf1SeSPUOvcHjl21ZDkPVoqlSnD4XxbCRdw==&p=7&fvj=0&vjs=3,"Collaborate and consult with internal partners, relationship managers, and colleagues to ensure customer satisfaction."
8,Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"PHP 45,000 - PHP 50,000 a month",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…"
9,Accountant: Senior Production Manager (Work From Home),Jetbooks.ie,Remote in Manila,"PHP 75,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbJCvHLuUXSj_ItsQMORMTB0CXkky1lUqDnAk7snpNTR0S9ORt4xTMtiZQMVGLVKmreJLz9d0uUCEKmEaLzIwEbjnXObV6WbWQphDfJcnMgIodBxhXj8VbIqr4Wj9yrscyi7v6d_sHj7MlsCKJZEi_Z01zmqxOV_58akqO2EW_boTQ9L_KJ7Q0BRU_c8VHNW-uYFywog7I7f00ZlEXHfLbrAgLqAcrZbZsQcaXVE9V6uiSe55okOrm-kMpfODwoWtmzDvIW6QdCSw97AIJWXhLAZlLf04d8K4uFEoEksHbeAmJU1gkllthxO4KrivRZTajsy0dX5DDUVRUtVzE1JoTgweaBJxkY6cZvGwSTB6WUDWY-qqrUBTVZXs0d0CMFAG2trXV06p5T361kwOZqhjraEoTzWcpuquXMcyp9tQMHtTniUodl56sH5BLRphLmSz7LFuyhVV43-owtYIm7DafEN3QqB3Z7l0=&p=9&fvj=1&vjs=3,The successful applicant needs a very high level of technical knowledge and an ability to apply it to finalise Jobs for the Senior client manager.
10,Area Manager (Food and Beverages),Making Fine Beverages Corporation - TIGER SUGAR PH,Manila,"PHP 24,000 - PHP 28,000 a month",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-faa1d09beb30176c?fccid=d7a8729ef11ca065&vjs=3,Oversee and direct operations at several locations within your assigned area.
11,Social Media Manager / Social Media Backer,Cyberbacker,Remote in Manila,"PHP 50,000 a month",https://ph.indeed.com/company/Cyberbacker/jobs/Social-Media-Manager-550364009b6ec052?fccid=e011231a7dbd4735&vjs=3,Set-up social media Business Pages.
12,Customer Experience Manager (Permanent WFH),Penbrothers International Inc.,Remote in Makati,"PHP 40,000 a month",https://ph.indeed.com/company/Penbrothers-International-Inc./jobs/Customer-Experience-Manager-15382ac3c647d6c1?fccid=f073b02fe5aaf1d9&vjs=3,Contribute in developing and improving our overall customer experience.
13,Management Trainee (Unimart Greenhills),Chatime Phillipines,San Juan,,https://ph.indeed.com/company/Chatime-Phillipines/jobs/Management-Trainee-85d65a06b56cb559?fccid=564cd37f6c7c008e&vjs=3,"️Manage operations, staffing and sales along with profit goals in sole assigned retail store."
14,Restaurant Manager,Landers Central,"Alabang
+1 location","PHP 30,000 - PHP 35,000 a month",https://ph.indeed.com/company/Seafood-City/jobs/Restaurant-Manager-bc94ba58f93361c1?fccid=0780ae8b7adf26f3&vjs=3,Monitors and analyzes sales and performance report.
