,Title,Company,Location,Salary,Snippet,Job_Type
0,Operations Manager,Azure Prism Limited,Remote in Manila,"PHP 60,000 - PHP 80,000 a month",Work from home and full-time position.,manager
1,Business Development Manager,Zengage,Pasay,"PHP 60,000 - PHP 80,000 a month",Managing both our existing sales pipeline and developing new business opportunities.,manager
2,Warehouse and Logistics Manager,C&L Decor,Quezon City,"PHP 30,000 - PHP 50,000 a month",Overall in charge of warehouse and logistics team.,manager
3,Customer Service Manager,Wells Fargo,Manila,,"Collaborate and consult with more experienced management, internal partners, relationship managers, and colleagues to ensure customer satisfaction.",manager
4,Operations Manager,Vrio-Fintech,Remote in Manila,"PHP 50,000 - PHP 60,000 a month",Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,manager
5,Concession Sales Manager,Richprime Global Inc,Quezon City,"PHP 40,000 - PHP 50,000 a month","Job Purpose: Responsible for planning, implementing and directing the sales activities of the company in assigned territory to achieve sales objectives.",manager
6,Knowldege Manager,TOA Global,Pasig,"PHP 75,000 - PHP 90,000 a month","As a Knowledge Manager, you will define the content/knowledge management strategy and lead the content architecture and strategy.",manager
7,Customer Service Associate Manager,Wells Fargo,Manila,,"Collaborate and consult with internal partners, relationship managers, and colleagues to ensure customer satisfaction.",manager
8,Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"PHP 45,000 - PHP 50,000 a month","Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",manager
9,Accountant: Senior Production Manager (Work From Home),Jetbooks.ie,Remote in Manila,"PHP 75,000 a month",The successful applicant needs a very high level of technical knowledge and an ability to apply it to finalise Jobs for the Senior client manager.,manager
10,Area Manager (Food and Beverages),Making Fine Beverages Corporation - TIGER SUGAR PH,Manila,"PHP 24,000 - PHP 28,000 a month",Oversee and direct operations at several locations within your assigned area.,manager
11,Social Media Manager / Social Media Backer,Cyberbacker,Remote in Manila,"PHP 50,000 a month",Set-up social media Business Pages.,manager
12,Customer Experience Manager (Permanent WFH),Penbrothers International Inc.,Remote in Makati,"PHP 40,000 a month",Contribute in developing and improving our overall customer experience.,manager
13,Management Trainee (Unimart Greenhills),Chatime Phillipines,San Juan,,"️Manage operations, staffing and sales along with profit goals in sole assigned retail store.",manager
14,Restaurant Manager,Landers Central,"Alabang
+1 location","PHP 30,000 - PHP 35,000 a month",Monitors and analyzes sales and performance report.,manager
15,Business Development Manager,Counto,Remote in Manila,"PHP 25,836 - PHP 83,799 a month",Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.,manager
16,Assistant Restaurant Manager,Happyfoods Group of Restaurants,Manila,"PHP 29,000 - PHP 31,000 a month","Candidate must possess at least Bachelor's/College Degree in Hotel & Restaurant Management, Tourism, Business Studies/Administration/Management, Food & Beverage…",manager
17,Restaurant Manager,Bornga Korean Restaurant,Makati,"PHP 20,000 - PHP 35,000 a month",To follow company instructions and policy and maintain the good standard of quality of service and products;,manager
18,Assistant Restaurant Manager,Popeyes Philippines,Quezon City,"PHP 25,000 - PHP 28,000 a month",The Assistant Restaurant Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc.…,manager
19,Food and Beverage Manager,Golden Pyramid Management Solutions Inc.,Makati,"PHP 25,000 - PHP 50,000 a month","Hire, train and manage, supervise, develop, discipline and counsel all food and beverage management team members according to company policies and procedures.",manager
20,"Manager, Facilities Management",AirAsia,Manila,,"Ensures the workplace is comfortable, a system in good condition and functional.",manager
21,Human Resources Manager,GrowthAssistant,Remote in Manila,"PHP 50,000 - PHP 80,000 a month","This position is hand-on and will build and oversee the Human Resources function, owning the end-to-end GrowthAssistant (GA) and internal team member experience…",manager
22,Restaurant Manager,Mary Grace Foods Inc,"Quezon City
+4 locations","PHP 25,000 a month",Proven customer service experience as a manager.,manager
23,Warehouse Manager,Gramans Group of Companies,Muntinlupa,"PHP 25,000 - PHP 40,000 a month",Oversees the day-to-day operation of the Warehousing and Distribution business of the company.,manager
24,14 - Project Manager (Homebased),Support Shepherd,Remote in Manila,"PHP 50,000 - PHP 85,000 a month",Set up a Video meeting with clients.,manager
25,Shift Manager (Cardinal Santos),Seattle's Best Coffee,San Juan,,At least 1-5 years as a manager in the Food & Beverage (F&B) industry especially Coffee Industry.,manager
26,AREA SALES MANAGER - GMA MODERN TRADE,Ideal Macaroni & Spaghetti Factory Inc.,Malabon,"PHP 40,000 - PHP 50,000 a month",Ensure achievement of agreed KPI's for the assigned Area/ Territory - Ensure optimization of the business potential in the assigned territory by identifying…,manager
27,Operations Manager,eTeam Inc,Remote in Makati,"PHP 55,000 - PHP 80,000 a month",Responsible for managing Engagement Coaches that are responsible for the daily operations of an engagement center.,manager
28,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"PHP 60,000 - PHP 70,000 a month","AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",manager
29,Customer Experience Manager,Everise,Remote in Taguig,"PHP 80,000 - PHP 100,000 a month",The Manager - Quality Assurance is responsible for the daily supervision and management of a team of Quality Assurance Representatives (QAR).,manager
30,Operations Manager | Libis,WNS Global Services Philippines Inc.,Quezon City,"PHP 70,000 - PHP 80,000 a month",Leads Operations to ensure customer satisfaction.,manager
31,Team Leader - Operations | Alabang / Libis,WNS Global Services Philippines Inc.,"Muntinlupa
+1 location","PHP 40,000 - PHP 50,000 a month","This position requires having team handling skills, coaching skills and managing customer escalation.",manager
32,Warehouse Manager,Styleright Global Corp,Quezon City,"PHP 30,000 - PHP 40,000 a month","Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",manager
33,Sales Manager,Clark Outsourcing,Philippines,"PHP 40,000 - PHP 50,000 a month",Ability to distribute leads to the sales team under little to no supervision by immediate manager/admin.,manager
34,Business Development Manager,JINGDONG(JD.COM),Manila,"PHP 90,000 a month","JD Philippines is currently looking for a Business Development Executive, based in Manila The candidate shall report to the Country Manager.",manager
35,Building Manager,"Lamco Paper Products Co., Inc.",Taguig,"PHP 30,000 - PHP 40,000 a month",Be a university/college graduate;,manager
36,STORE MANAGER for AYALA MALLS VERTIS NORTH PHASE 2,Watsons Personal Care Store (Phils.) Inc.,Quezon City,"PHP 28,000 a month","Our *Store Manager* is responsible for planning, leading and managing all day-to-day activities of the store both health & beauty.",manager
